ID;Name;Name2;Groesse;Typ;Beschreibung;Bereich;Ballspielplatz;Skater;Streetball;Latitude;Longitude
969;Sp Oststrasse;Oststrasse;2608;4;4 - Zentraler Spielplatz;A+B/C;;;;7.646693405576888; 51.9622508355855
970;Sp Buxtrup;Buxtrup;2975;3;3 - Alle Altersklassen;A;integriert;;ja;7.71764307823379; 51.909952100863443
971;Sp Kr�gerweg;Kr�gerweg;;;;;;;;7.655739148655347; 51.924892114560187
972;Sp Vinzenzweg;Vinzenzweg;;;;;;;;7.638098477290411; 51.971733073572658
973;Sp Rehhagen;Rehhagen;805;2;2 - Wohngebietsspielplatz;B/C;;;;7.628892545559687; 51.898966503611554
974;Sp Alte Furt;Alte Furt;846;2;2 - Wohngebietsspielplatz;B/C;;;ja;7.606965885853413; 51.884462872517226
975;Sp Martinischule;Martinischule;776;2;2 - Wohngebietsspielplatz;B/c;;;;7.632015751689661; 51.965505806243414
976;Sp Am Spieker;Am Spieker;1522;2;2 - Wohngebietsspielplatz;B/C;;;;7.557047903260918; 51.994155547358758
977;Sp In Der Au;In Der Au;900;2;2 - Wohngebietsspielplatz;B/C;;;;7.61490366169593; 52.03824366241323
978;Sp Fritz-Reuter-Strasse;Fritz-Reuter-Strasse;2092;2;2 - Wohngebietsspielplatz;B/C;;;;7.613966588071955; 52.033666764911864
979;Sp Am Roggenkamp;Am Roggenkamp;2919;3;3 - Alle Altersklassen;A;integriert;;ja;7.671083201065712; 51.901984789969489
980;Sp Nottulner Landweg;Nottulner Landweg;2000;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.535511813804865; 51.948194205973792
